init_coverage,adam_coverage,bf_coverage,combined_coverage,systems_area,protection_area,Number_of_systems,Number_of_areas,average_system_size,average_area_size,precision,recall,Fscore,env_area
5.765561391,8.075710694,8.064511697,8.257240184,186.8254688,17.10547888,3,60,62.27515625,0.285091315,0.044197615,0.482724877,0.040490373,20
3.511290748,6.379300533,9.48442368,10.67218495,186.8254688,17.03559872,3,60,62.27515625,0.283926645,0.057123823,0.626463744,0.052350285,20
5.49891888,7.806472188,9.016822318,10.0546602,186.8254688,17.19697241,3,60,62.27515625,0.286616207,0.053818466,0.584676184,0.049282129,20
3.653532885,6.649316042,7.71524677,8.454263072,153.1480813,20.50387059,3,70,51.04936044,0.292912437,0.055203193,0.412325226,0.048685102,20
2.741323845,4.96583407,8.203466524,9.666808302,153.1480813,20.40219274,3,70,51.04936044,0.291459896,0.063120662,0.473812223,0.055700334,20
2.865240245,6.123961422,8.412335712,9.898162256,153.1480813,19.88829976,3,70,51.04936044,0.284118568,0.064631317,0.497687705,0.057202781,20
2.918722691,4.155057984,6.432397015,7.568173071,92.81753636,22.99040316,3,80,30.93917879,0.287380039,0.081538181,0.329188358,0.065351073,20
4.061063358,5.412942037,6.308730682,6.550900429,92.81753636,23.09639763,3,80,30.93917879,0.28870497,0.070578262,0.283632995,0.056515211,20
4.859537359,6.286129385,7.295977303,8.642853106,92.81753636,23.865727,3,80,30.93917879,0.298321587,0.093116597,0.362144975,0.074071061,20
5.564495415,7.773013718,8.490679826,8.891856119,129.0404427,25.72468555,3,90,43.01348089,0.285829839,0.068907514,0.345654609,0.057453874,20
5.636999496,8.797151491,12.21980953,13.41500784,129.0404427,26.04767331,3,90,43.01348089,0.289418592,0.103959717,0.51501751,0.086499264,20
7.209063863,10.50257647,10.3694892,11.364589,129.0404427,25.80822996,3,90,43.01348089,0.286758111,0.088069978,0.440347479,0.073391582,20
1.376003843,1.828219194,2.429779248,2.429779248,150.2787313,3.113349616,4,10,37.56968283,0.311334962,0.016168484,0.780438932,0.015840317,20
0.955880427,1.2276319,2.100180472,2.453332482,150.2787313,2.917804969,4,10,37.56968283,0.291780497,0.016325214,0.840814417,0.016014282,20
0.620080881,0.946825775,2.178265147,2.178265147,150.2787313,3.078819104,4,10,37.56968283,0.30788191,0.014494833,0.707500205,0.014203834,20
1.42598299,1.595611262,2.462113373,2.780498827,114.1742857,6.230006993,4,20,28.54357143,0.31150035,0.024353109,0.446307497,0.023093021,20
1.775407749,2.096604332,2.221672076,2.413294477,114.1742857,6.147424208,4,20,28.54357143,0.30737121,0.021136935,0.392570025,0.020057016,20
1.216132354,1.364596228,2.394569121,2.451450351,114.1742857,5.717465915,4,20,28.54357143,0.285873296,0.021471125,0.428765188,0.020447198,20
4.060523433,5.262354916,6.990399726,6.997681809,268.9379368,8.855167798,4,30,67.23448419,0.29517226,0.02601969,0.790237065,0.025190265,20
3.419156641,3.564411561,5.515569152,6.015953435,268.9379368,8.403265753,4,30,67.23448419,0.280108858,0.0223693,0.715906602,0.021691524,20
1.633300552,2.456453272,5.161281761,6.45730771,268.9379368,8.679360006,4,30,67.23448419,0.289312,0.024010401,0.743984315,0.023259746,20
3.706135476,4.366518994,6.637887513,6.973175087,178.1227002,11.89574296,4,40,44.53067505,0.297393574,0.039148155,0.5861908,0.036697359,20
2.098160008,3.956463856,5.438195269,5.653043717,178.1227002,11.2576313,4,40,44.53067505,0.281440783,0.031736796,0.502152146,0.029850216,20
2.0388203,4.527335858,5.603066542,5.603300215,178.1227002,11.54684663,4,40,44.53067505,0.288671166,0.03145753,0.485266705,0.029542435,20
6.052134599,7.614833187,9.088634768,10.81258983,201.6761626,14.65859719,4,50,50.41904065,0.293171944,0.053613623,0.737627871,0.049980825,20
5.321498161,7.299700539,8.746571118,9.978560684,201.6761626,13.92612586,4,50,50.41904065,0.278522517,0.049478136,0.716535294,0.046282258,20
4.690875561,5.722655992,7.16222252,8.210334421,201.6761626,14.39887992,4,50,50.41904065,0.287977598,0.040710485,0.570206465,0.037997606,20
4.874188284,6.941766509,7.791972399,9.147714566,207.9979023,17.11915029,4,60,51.99947558,0.285319172,0.04397984,0.534355643,0.040635369,20
6.720231319,9.131565518,9.846885577,12.02348258,207.9979023,18.11671357,4,60,51.99947558,0.301945226,0.057805788,0.663667974,0.053174283,20
6.755367817,9.835813219,10.60662835,11.36250801,207.9979023,17.94933816,4,60,51.99947558,0.299155636,0.054627993,0.633032144,0.050288324,20
7.729037597,11.78246754,11.6611973,12.03185452,253.5343671,19.30280827,4,70,63.38359177,0.275754404,0.047456503,0.623321454,0.044099029,20
6.187279535,8.745807084,11.33768316,13.77724354,253.5343671,19.79126861,4,70,63.38359177,0.282732409,0.054340734,0.696127359,0.050405969,20
6.31376358,8.838115919,11.65641007,12.53490575,253.5343671,19.65382497,4,70,63.38359177,0.280768928,0.049440657,0.637784542,0.045883776,20
2.235764134,8.424593552,10.28518433,11.06555306,139.8802057,23.28128219,4,80,34.97005143,0.291016027,0.079107355,0.475298266,0.067819638,20
4.366825021,5.966874716,9.115140908,10.4098924,139.8802057,23.06451091,4,80,34.97005143,0.288306386,0.074420054,0.451338094,0.063886038,20
2.261412685,4.801819607,8.363060735,9.65996411,139.8802057,22.81566807,4,80,34.97005143,0.285195851,0.069058835,0.423391683,0.059374364,20
5.025668489,9.889396872,11.20011329,12.57486191,163.3874743,25.18572467,4,90,40.84686859,0.279841385,0.076963439,0.499285293,0.066684248,20
5.088487862,7.072453022,12.43498748,14.09778313,163.3874743,25.55159503,4,90,40.84686859,0.283906611,0.086284357,0.55173789,0.0746155,20
4.338398117,9.40848833,10.93359308,11.80093091,163.3874743,25.28073549,4,90,40.84686859,0.280897061,0.072226656,0.466795395,0.062548592,20
1.805725297,2.044261284,2.920888162,3.262170648,25.26907706,28.02468581,1,100,25.26907706,0.280246858,0.129097341,0.116403469,0.061211115,20
2.633624786,2.987715308,2.892283325,3.274876736,25.26907706,28.82019125,1,100,25.26907706,0.288201913,0.129600172,0.113631333,0.060545776,20
2.551220453,2.702264097,3.161875988,3.64698234,25.26907706,29.24417574,1,100,25.26907706,0.292441757,0.144325902,0.124707989,0.066900839,20
5.386924993,6.97906148,6.728908523,7.566292118,92.43097284,28.18804364,2,100,46.21548642,0.281880436,0.081858839,0.268422038,0.062728849,20
4.507618359,6.963902118,7.963858179,9.053150493,92.43097284,28.74357544,2,100,46.21548642,0.287435754,0.097944988,0.314962574,0.07471165,20
3.714013281,5.20159506,9.572403354,11.05920725,92.43097284,29.62516945,2,100,46.21548642,0.296251695,0.119648284,0.373304439,0.090607544,20
10.50451363,14.66446202,14.2434613,14.99545079,155.7049276,30.66129188,3,100,51.90164255,0.306612919,0.096306848,0.489067807,0.080462279,20
10.43145725,13.22127747,12.30811478,14.85047638,155.7049276,28.56476078,3,100,51.90164255,0.285647608,0.095375764,0.519888001,0.080590989,20
9.529304563,11.18327234,13.42918691,14.70496221,155.7049276,28.32908712,3,100,51.90164255,0.283290871,0.094441213,0.519076458,0.079903502,20
9.52258822,15.66580692,15.85836734,17.98947284,230.3012245,28.22833947,4,100,57.57530612,0.282283395,0.078112797,0.637284133,0.069583813,20
7.771480534,14.93364446,16.28410255,18.77993281,230.3012245,28.56576477,4,100,57.57530612,0.285657648,0.081545085,0.657427972,0.07254665,20
9.740125974,15.982064,18.19901729,19.89462219,230.3012245,28.44791102,4,100,57.57530612,0.28447911,0.086385221,0.699335082,0.076887686,20
0.255144502,0.255144502,0.342502248,0.342502248,46.72902757,2.86167172,1,10,46.72902757,0.286167172,0.007329539,0.119686072,0.006906582,20
0.256407186,0.279849475,0.449177957,0.648661312,46.72902757,3.130711936,1,10,46.72902757,0.313071194,0.013881336,0.207192909,0.013009721,20
0.501603873,0.501603873,1.377784747,1.377784747,46.72902757,9.015918358,1,30,46.72902757,0.300530612,0.029484558,0.152816906,0.024715868,20
0.370604835,0.370604835,1.105253783,1.392547228,46.72902757,5.89501392,1,20,46.72902757,0.294750696,0.029800475,0.236224587,0.026462187,20
0,0,0.978997989,1.222195788,46.72902757,5.446429129,1,20,46.72902757,0.272321456,0.026154959,0.224403138,0.023424726,20
1.208800071,2.074670963,1.839871839,1.839871839,46.72902757,11.49507298,1,40,46.72902757,0.287376825,0.039373211,0.16005743,0.031599833,20
0.869364625,0.960452591,1.30974683,2.842346152,46.72902757,8.425523308,1,30,46.72902757,0.280850777,0.060826135,0.337349509,0.051534209,20
1.553577836,1.816261832,2.777186375,2.904500442,46.72902757,18.21112956,1,60,46.72902757,0.303518826,0.062156236,0.159490406,0.044725799,20
